location_region,res_type,res_price,res_sqr,construction_year,levels,bedrooms,bathrooms,status,energyclass,auto_heating,solar,cooling,safe_door,gas,fireplace,furniture,student,neighborhood
Θεσσαλονίκη,Μεζονέτα,130000,120.0,2022.0,1ος,3.0,1.0,Νεόδμητο,Α,0,0,0,0,1,0,0,0,Other
Αττική,Μονοκατοικία,120000,110.0,1925.0,Υπερυψωμένο,2.0,1.0,,,0,1,0,0,0,0,0,0,Other
Θεσσαλονίκη,Διαμέρισμα,153000,81.0,1971.0,1ος,2.0,1.0,Ανακαινισμένο,Δ,0,0,1,1,0,0,0,1,"Θεσσαλονίκη,Φάληρο"
Αττική,Μονοκατοικία,150000,128.0,1983.0,1ος,4.0,2.0,,,0,1,1,0,0,0,0,0,Άρτεμις
Αττική,Διαμέρισμα,105000,42.0,1970.0,2ος,1.0,1.0,Χρήζει ανακαίνισης,Η,0,0,0,0,0,0,0,0,Other
Αττική,Κτίριο,200000,360.0,2010.0,Ισόγειο,,,Καλή,Μη αποδοτικό,0,0,0,0,0,0,0,0,"Άνω Λιόσια,Άγιος Ιωάννης Θεολόγος"
Θεσσαλονίκη,Μονοκατοικία,700000,210.0,2012.0,Ισόγειο,3.0,1.0,Νεόδμητο,Γ,1,0,0,1,1,1,0,0,Πανόραμα
Αττική,Μονοκατοικία,360000,335.0,2003.0,"Ημιυπόγειο,Ισόγειο,Υπερυψωμένο,1ος",4.0,3.0,,Η,1,0,0,0,0,0,0,0,Παιανία
Θεσσαλονίκη,Διαμέρισμα,330000,125.0,2022.0,1ος,3.0,1.0,Νεόδμητο,Β+,0,0,1,1,0,0,0,0,"Θεσσαλονίκη,Κάτω Τούμπα"
Αττική,Διαμέρισμα,145000,101.0,1967.0,Ισόγειο,,,Καλή,Ζ,1,0,0,0,0,0,0,0,"Αθήνα,Κυψέλη"
Αττική,Μονοκατοικία,650000,270.0,2011.0,"Ισόγειο,1ος,2ος",3.0,3.0,Ανακαινισμένο,Γ,1,1,1,1,0,1,0,0,Other
Αττική,Μονοκατοικία,370000,140.0,1979.0,1ος,2.0,2.0,Καλή,Α,1,1,1,1,0,1,0,0,Other
Αττική,Μεζονέτα,380000,300.0,,"Ισόγειο,1ος,2ος",4.0,1.0,,,1,1,1,0,0,0,0,0,Σαλαμίνα
Αττική,Διαμέρισμα,150000,87.0,2000.0,1ος,3.0,1.0,Άριστη,Β,0,1,1,1,0,0,1,0,Other
Αττική,Διαμέρισμα,90000,86.0,1970.0,1ος,2.0,1.0,Άλλη κατάσταση,Γ,1,0,0,1,1,0,0,0,Other
Αττική,Διαμέρισμα,100000,90.0,2008.0,4ος,3.0,1.0,Άλλη κατάσταση,Δ,1,1,1,1,1,1,0,0,Other
Θεσσαλονίκη,Μεζονέτα,370000,180.0,2022.0,Ισόγειο,4.0,2.0,Υπο κατασκευή,Α+,0,1,1,1,0,1,0,0,Θέρμη
Θεσσαλονίκη,Διαμέρισμα,75078,75.0,1975.0,1ος,2.0,1.0,Καλή,Ζ,1,0,0,1,0,0,0,0,"Θεσσαλονίκη,Κάτω Τούμπα"
Θεσσαλονίκη,Μεζονέτα,105000,140.0,2011.0,Ισόγειο,3.0,1.0,Άλλη κατάσταση,Α,1,0,0,1,0,0,0,0,Other
Αττική,Διαμέρισμα,149000,79.0,1965.0,1ος,2.0,1.0,Καλή,Η,0,0,1,1,0,0,0,0,Other
Θεσσαλονίκη,Διαμέρισμα,160000,85.0,2021.0,1ος,2.0,1.0,Άριστη,Γ,1,0,0,1,1,0,0,0,Other
Θεσσαλονίκη,Διαμέρισμα,152000,100.0,1980.0,2ος,2.0,1.0,Άριστη,Εκρεμμεί,0,0,0,1,0,0,0,0,"Θεσσαλονίκη,Χαριλάου"
Αττική,Διαμέρισμα,125000,120.0,1990.0,Ισόγειο,2.0,1.0,Νεόδμητο,,1,1,1,0,0,0,0,1,"Άνω Λιόσια,Άγιος Ιωάννης Θεολόγος"
Θεσσαλονίκη,Διαμέρισμα,90000,45.0,1972.0,5ος,1.0,,Ανακαινισμένο,Εκρεμμεί,0,0,1,1,0,0,1,1,"Θεσσαλονίκη,Ανω Πόλη"
Αττική,Κτίριο,1230000,1730.0,2014.0,Ισόγειο,,,Καλή,Ε,0,0,0,0,0,0,0,0,"Αθήνα,Ελληνορώσων"
Αττική,Διαμέρισμα,207000,80.0,2022.0,4ος,2.0,1.0,Νεόδμητο,Α+,0,0,1,1,0,0,0,0,Other
Αττική,Διαμέρισμα,750000,206.0,1981.0,3ος,3.0,2.0,,,0,1,1,1,0,0,0,0,"Κηφισιά,Κεφαλάρι"
Θεσσαλονίκη,Διαμέρισμα,60000,50.0,1972.0,3ος,2.0,1.0,Καλή,Α,0,0,0,1,0,0,0,1,"Θεσσαλονίκη,Βαρδάρη"
Αττική,Διαμέρισμα,110000,82.0,1974.0,1ος,2.0,1.0,Καλή,Ζ,0,0,0,0,0,0,0,0,Other
